914a3e36246b72a7610016bdd4a40a79,NR_144750,0.0,691,99,90.411,Prevotellamassilia timonensis
f546f48c5dd1a12730ef548b9d68a4f5,NR_180696,1.3,33.7,4,91.304,Rariglobus hedericola
12316bc72ff3aa370caeb14aa2098996,NR_113957,0.0,858,94,99.381,Staphylococcus epidermidis
9816cfdf002f8d6310959f748f12886a,NR_156818,0.0,919,100,99.612,Staphylococcus edaphicus
dbb7a947bb0780dc1830a036314f6778,NR_116181,0.0,826,98,96.627,Bacteroides ovatus
9b9f41a08a3d40c1f54676bd19d34bab,NR_151905,0.0,745,100,92.039,Vicinamibacter silvestris
8288b50bbedc9c3a1d78d1873357d060,NR_151905,0.0,889,100,98.252,Vicinamibacter silvestris
1b5a854646b5fee3028ed1a642402ea0,NR_074856,5.46e-132,470,98,80.822,Halorhodospira halophila
9e1e56df8551521269c8625a3c2ff356,NR_151905,0.0,643,100,87.961,Vicinamibacter silvestris
95c266b58b410178a1c504d94669a5b9,NR_109617,0.0,756,93,95.436,Nevskia persephonica
2630ba3250de601ce26c05ceecc5273e,NR_113123,0.0,702,87,95.089,Prevotella timonensis 4401737 = DSM 22865 = JCM 15640
c1b061ceee7b081ab99f1cd86557abfa,NR_126172,0.0,801,98,95.257,Povalibacter uvarum
b984cf177989bbcedd4acb5d8961dca7,NR_126172,0.0,642,99,87.719,Povalibacter uvarum
42d58615fbec3e5b4413dc15138fbf3e,NR_151905,0.0,718,100,90.874,Vicinamibacter silvestris
acf4864164731bdfee078a16ae62fc8e,NR_104861,5.83e-119,426,99,79.029,Caldanaerobacter subterraneus
602e92e736e14c8dba77bfc80812e8dd,NR_104916,3.92e-178,623,94,88.798,Coxiella burnetii
017aade8e7dab489b5da7d5def768c9b,NR_024781,5.45e-170,596,100,85.687,Haliangium tepidum
d7ccb3a82fcee0ba73824bf4ba5eb2bb,NR_029181,1.05e-153,543,93,84.400,Mycoplasma feliminutum
dbf148fee7cd44cba429c1bc90aa6863,NR_029181,5.45e-151,534,93,84.000,Mycoplasma feliminutum
5d64c1b1d2b1c7923b5d57862957a7ff,NR_029181,4.47e-152,537,93,84.431,Mycoplasma feliminutum
2b1ee675be5faf45742ef722b3949d3d,NR_029181,4.47e-152,537,93,84.232,Mycoplasma feliminutum
035137d193c7b016bc4df2bd0dbaa21d,NR_029181,1.90e-150,532,94,84.032,Mycoplasma feliminutum
3da9b79c6ceee21a58c373b3bdd18f62,NR_029181,6.64e-150,529,93,83.800,Mycoplasma feliminutum
1643b1532e3fd75849ab593351ba50d8,NR_029181,1.05e-153,542,93,84.631,Mycoplasma feliminutum
86825dcf02f01859f0f85ceca3bbb05f,NR_029181,6.22e-144,510,96,83.068,Mycoplasma feliminutum
81bf2baa9023e40623b962176e882cba,NR_029181,6.22e-144,510,96,83.068,Mycoplasma feliminutum
3c2c2c970a0cd222077ecdd9b5736a73,NR_153710,7.57e-162,569,99,84.825,Peptococcus simiae
6ae9b6d7809f9a1b49c5280a403ff3d0,NR_153710,1.56e-170,598,99,86.381,Peptococcus simiae
